word,phon
eklatanterem,eklatantəʁəm
ungesühntere,ʊnɡəzyntəʁə
Grabstelen,ɡʁapʃtelən
klassizistisch,klasitsɪstɪʃ
Lysozyme,lyzotsymə
obersorbischste,obɐzɔʁbɪʃstə
Interstadials,ɪntɐstadials
kompakt,kɔmpakt
Irrtum,ɪʁtum
zügellosester,tsyɡəllozəstɐ
ereignisreich,ɛɐʔaɪɡnɪsʁaɪç
Harschs,haʁʃs
pussel,pʊsl
rechtens,ʁɛçtns
Graphie,ɡʁafi
dissertierte,dɪsɛʁtiɐtə
Trompeters,tʁɔmpetɐs
Augustabenden,aʊɡʊstʔabndən
schlaucht,ʃlaʊxt
übertriebenes,ybɐtʁibənəs
hämischeres,hɛmɪʃəʁəs
spritigen,ʃpʁɪtɪɡn
tschechisches,tʃɛçɪʃəs
Gassi,ɡasi
Westerburg,vɛstɐbʊʁk
befriedest,bəfʁidəst
eumeltest,ɔɪmltəst
unmündigerer,ʊnmʏndɪɡəʁɐ
unstetem,ʊnʃtetəm
Basler,bazlɐ
bedrohet,bədʁoət
erkundigten,ɛɐkʊndɪçtn
begraben,bəɡʁabn
vielleicht,filaɪçt
Bürgerhaus,bʏʁɡɐhaʊs
rütteltet,ʁʏtltət
Stoffrest,ʃtɔfʁɛst
abänderst,apʔɛndɐst
evakuieren,evakuiʁən
überbringst,ybɐbʁɪŋst
klotztet,klɔtstət
Dienstwortes,dinstvɔʁtəs
träum,tʁɔɪm
erreg,ɛɐʁek
Kunststoffband,kʊnstʃtɔfbant
Sprachökonomie,ʃpʁaxʔøkonomi
anhängliches,anhɛŋlɪçəs
durchdacht,dʊʁçdaxt
Hexanol,hɛksanol
randalieret,ʁandaliʁət
triagieren,tʁiaʒiʁən
Verbalphrase,vɛʁbalfʁazə
Steckenpferde,ʃtɛknpfeɐdə
klassiertest,klasiɐtəst
shisht,ʃiʃt
räumlicherem,ʁɔɪmlɪçəʁəm
denunzierend,denʊntsiʁənt
selbstischerer,zɛlpstɪʃəʁɐ
Curitiba,kuʁitiba
komfortablere,kɔmfɔʁtabləʁə
feuerfestes,fɔɪɐfɛstəs
unweigerliche,ʊnvaɪɡɐlɪçə
behaglichstes,bəhaklɪçstəs
Lutschtablette,lʊtʃtablɛtə
Blatthonige,blathonɪɡə
Sockelbestände,zɔklbəʃtɛndə
Hausdienern,haʊsdinɐn
Kammertones,kamɐtonəs
anwarben,anvaʁbn
veganes,veɡanəs
Velozipeds,velotsipets
slowakischerem,slovakɪʃəʁəm
Titularbischofs,titulaɐbɪʃɔfs
zerdrückest,tsɛɐdʁʏkəst
Geheimdiensts,ɡəhaɪmdinsts
resolute,ʁezolutə
Bootsmannpfeife,botsmanpfaɪfə
Pferdefuhrwerk,pfeɐdəfuɐvɛʁk
Laichs,laɪçs
